observed_on,time_observed_at,quality_grade,latitude,longitude,positional_accuracy,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
2014-05-24,2014-05-24 20:52:30 UTC,research,34.295071,-118.67519,49,,,49,Crotalus oreganus helleri,Southern Pacific Rattlesnake
2014-05-25,2014-05-26 05:47:40 UTC,research,33.1578333333,-116.344,,,,,Phyllorhynchus decurtatus,Western Leaf-nosed Snake
2014-05-29,,research,34.4542659031,-117.0074412005,2,,,28818,Crotalus scutulatus scutulatus,Northern Mojave Rattlesnake
2014-05-24,2014-05-25 01:57:45 UTC,research,36.419558,-117.26815,3,,,3,Pituophis catenifer deserticola,Great Basin Gopher Snake
2014-06-03,2014-06-04 04:34:45 UTC,research,32.7463633333,-115.9788883333,,,,,Phrynosoma platyrhinos,Desert Horned Lizard
2014-06-01,,research,34.134728,-116.313066,4918,,,4918,Masticophis flagellum piceus,Red Coachwhip
2014-06-05,2014-06-05 19:07:27 UTC,research,35.9713666667,-118.5083783333,,,,,Coluber constrictor mormon,Western Yellow-bellied Racer
2014-06-08,,research,34.122127,-118.335234,,,,,Masticophis lateralis,Striped Racer
2014-06-14,2014-06-14 15:21:54 UTC,research,34.0748333333,-118.513,,,,,Hypsiglena ochrorhynchus klauberi,San Diego Nightsnake
2014-06-13,2014-06-14 05:12:03 UTC,research,33.7223166667,-115.400575,,,,,Coleonyx variegatus variegatus,Desert Banded Gecko
2014-05-25,2014-05-26 06:28:33 UTC,research,33.5396866161,-116.9472151674,10,,,28957,Arizona elegans occidentalis,California Glossy Snake
2014-06-29,2014-06-30 05:07:00 UTC,research,37.6143459999,-121.7548353475,,,,28359,Crotalus oreganus oreganus,Northern Pacific Rattlesnake
2014-06-28,,research,38.02975,-122.736,,,,,Pituophis catenifer catenifer,Pacific Gopher Snake
2014-06-28,2014-06-28 21:18:40 UTC,research,32.867537,-114.493086,18,,,18,Procyon lotor,Common Raccoon
2014-06-29,2014-06-29 08:24:55 UTC,research,32.737923,-115.994151,22,,,22,Arizona elegans eburnata,Desert Glossy Snake
2014-06-23,2014-06-23 08:51:04 UTC,research,32.948825,-116.3034366667,,,,,Phyllorhynchus decurtatus,Western Leaf-nosed Snake
2014-07-10,2014-07-11 00:27:04 UTC,research,37.3918133333,-122.1623,,,,,Procyon lotor,Common Raccoon
2014-07-17,2014-07-18 00:15:00 UTC,research,37.38907,-122.163498,7906,,,7906,Odocoileus hemionus,Mule Deer
2014-07-20,2014-07-20 17:12:16 UTC,research,38.8325383333,-120.0395888333,,,,,Charina bottae,Northern Rubber Boa
2013-07-28,2013-07-29 01:34:02 UTC,needs_id,34.414533,-119.558042,,,,,Aves,Birds
2014-07-30,2014-07-30 21:08:14 UTC,research,34.07998713,-118.7009062,9,,,9,Otospermophilus beecheyi,California Ground Squirrel
2014-07-23,2014-07-23 15:19:42 UTC,research,37.911833,-122.660833,499,,,499,Urocyon cinereoargenteus,Gray Fox
2014-08-04,2014-08-05 01:20:15 UTC,research,33.998307,-118.364494,5,,,5,Pituophis catenifer annectens,San Diego Gopher Snake
2014-08-02,2014-08-03 02:06:42 UTC,needs_id,33.23538,-116.76092,20,,,20,Aphonopelma eutylenum,California Ebony Tarantula
